Epoch [0/200], Step [50/600], d_loss: 0.6704, g_loss: 0.7011, D(x): 0.53, D(G(z)): 0.50
Epoch [0/200], Step [100/600], d_loss: 0.6421, g_loss: 0.7497, D(x): 0.53, D(G(z)): 0.47
Epoch [0/200], Step [150/600], d_loss: 0.6304, g_loss: 0.7757, D(x): 0.54, D(G(z)): 0.46
Epoch [0/200], Step [200/600], d_loss: 0.5780, g_loss: 0.8080, D(x): 0.56, D(G(z)): 0.44
Epoch [0/200], Step [250/600], d_loss: 0.5695, g_loss: 0.8581, D(x): 0.57, D(G(z)): 0.43
Epoch [0/200], Step [300/600], d_loss: 0.6026, g_loss: 0.8197, D(x): 0.56, D(G(z)): 0.45
Epoch [0/200], Step [350/600], d_loss: 0.5605, g_loss: 0.8710, D(x): 0.57, D(G(z)): 0.42
Epoch [0/200], Step [400/600], d_loss: 0.5531, g_loss: 0.8853, D(x): 0.58, D(G(z)): 0.42
Epoch [0/200], Step [450/600], d_loss: 0.5511, g_loss: 0.8957, D(x): 0.57, D(G(z)): 0.41
Epoch [0/200], Step [500/600], d_loss: 0.5242, g_loss: 0.9392, D(x): 0.60, D(G(z)): 0.40
Epoch [0/200], Step [550/600], d_loss: 0.4986, g_loss: 0.9419, D(x): 0.63, D(G(z)): 0.40
Epoch [0/200], Step [600/600], d_loss: 0.5198, g_loss: 0.9892, D(x): 0.61, D(G(z)): 0.40
Epoch [1/200], Step [50/600], d_loss: 0.5218, g_loss: 1.0009, D(x): 0.58, D(G(z)): 0.38
Epoch [1/200], Step [100/600], d_loss: 0.4794, g_loss: 1.0329, D(x): 0.62, D(G(z)): 0.37
Epoch [1/200], Step [150/600], d_loss: 0.5264, g_loss: 1.0358, D(x): 0.60, D(G(z)): 0.40
Epoch [1/200], Step [200/600], d_loss: 0.4869, g_loss: 1.0386, D(x): 0.61, D(G(z)): 0.36
Epoch [1/200], Step [250/600], d_loss: 0.4724, g_loss: 1.1278, D(x): 0.61, D(G(z)): 0.34
Epoch [1/200], Step [300/600], d_loss: 0.4878, g_loss: 1.1353, D(x): 0.62, D(G(z)): 0.37
Epoch [1/200], Step [350/600], d_loss: 0.4810, g_loss: 0.9671, D(x): 0.62, D(G(z)): 0.36
Epoch [1/200], Step [400/600], d_loss: 0.4568, g_loss: 0.9979, D(x): 0.68, D(G(z)): 0.39
Epoch [1/200], Step [450/600], d_loss: 0.4446, g_loss: 1.1332, D(x): 0.67, D(G(z)): 0.36
Epoch [1/200], Step [500/600], d_loss: 0.4519, g_loss: 1.2112, D(x): 0.63, D(G(z)): 0.33
Epoch [1/200], Step [550/600], d_loss: 0.4424, g_loss: 1.1267, D(x): 0.63, D(G(z)): 0.32
Epoch [1/200], Step [600/600], d_loss: 0.4199, g_loss: 1.1274, D(x): 0.69, D(G(z)): 0.35
Epoch [2/200], Step [50/600], d_loss: 0.4420, g_loss: 1.1650, D(x): 0.68, D(G(z)): 0.36
Epoch [2/200], Step [100/600], d_loss: 0.4330, g_loss: 1.2045, D(x): 0.66, D(G(z)): 0.34
Epoch [2/200], Step [150/600], d_loss: 0.4468, g_loss: 1.1316, D(x): 0.67, D(G(z)): 0.35
Epoch [2/200], Step [200/600], d_loss: 0.4396, g_loss: 1.3312, D(x): 0.64, D(G(z)): 0.32
Epoch [2/200], Step [250/600], d_loss: 0.4299, g_loss: 1.3036, D(x): 0.65, D(G(z)): 0.32
Epoch [2/200], Step [300/600], d_loss: 0.4254, g_loss: 1.2345, D(x): 0.65, D(G(z)): 0.32
Epoch [2/200], Step [350/600], d_loss: 0.4043, g_loss: 1.4321, D(x): 0.70, D(G(z)): 0.33
Epoch [2/200], Step [400/600], d_loss: 0.3596, g_loss: 1.3051, D(x): 0.72, D(G(z)): 0.29
Epoch [2/200], Step [450/600], d_loss: 0.4477, g_loss: 1.1933, D(x): 0.66, D(G(z)): 0.35
Epoch [2/200], Step [500/600], d_loss: 0.4774, g_loss: 1.2199, D(x): 0.64, D(G(z)): 0.36
Epoch [2/200], Step [550/600], d_loss: 0.3896, g_loss: 1.3150, D(x): 0.71, D(G(z)): 0.32
Epoch [2/200], Step [600/600], d_loss: 0.3701, g_loss: 1.2710, D(x): 0.72, D(G(z)): 0.31
Epoch [3/200], Step [50/600], d_loss: 0.3516, g_loss: 1.2583, D(x): 0.75, D(G(z)): 0.31
Epoch [3/200], Step [100/600], d_loss: 0.3891, g_loss: 1.3088, D(x): 0.69, D(G(z)): 0.30
Epoch [3/200], Step [150/600], d_loss: 0.3667, g_loss: 1.3393, D(x): 0.70, D(G(z)): 0.28
Epoch [3/200], Step [200/600], d_loss: 0.4328, g_loss: 1.4595, D(x): 0.64, D(G(z)): 0.28
Epoch [3/200], Step [250/600], d_loss: 0.4056, g_loss: 1.4248, D(x): 0.66, D(G(z)): 0.30
Epoch [3/200], Step [300/600], d_loss: 0.3423, g_loss: 1.3221, D(x): 0.73, D(G(z)): 0.29
Epoch [3/200], Step [350/600], d_loss: 0.3410, g_loss: 1.3720, D(x): 0.73, D(G(z)): 0.28
Epoch [3/200], Step [400/600], d_loss: 0.3851, g_loss: 1.4101, D(x): 0.71, D(G(z)): 0.30
Epoch [3/200], Step [450/600], d_loss: 0.3670, g_loss: 1.2102, D(x): 0.74, D(G(z)): 0.31
Epoch [3/200], Step [500/600], d_loss: 0.4367, g_loss: 1.1074, D(x): 0.70, D(G(z)): 0.36
Epoch [3/200], Step [550/600], d_loss: 0.4031, g_loss: 1.2430, D(x): 0.73, D(G(z)): 0.34
Epoch [3/200], Step [600/600], d_loss: 0.3748, g_loss: 1.1892, D(x): 0.71, D(G(z)): 0.29
Epoch [4/200], Step [50/600], d_loss: 0.4220, g_loss: 1.3347, D(x): 0.68, D(G(z)): 0.32
Epoch [4/200], Step [100/600], d_loss: 0.3901, g_loss: 1.3049, D(x): 0.74, D(G(z)): 0.34
Epoch [4/200], Step [150/600], d_loss: 0.3921, g_loss: 1.3331, D(x): 0.70, D(G(z)): 0.31
Epoch [4/200], Step [200/600], d_loss: 0.3866, g_loss: 1.7325, D(x): 0.70, D(G(z)): 0.29
Epoch [4/200], Step [250/600], d_loss: 0.3526, g_loss: 1.3306, D(x): 0.76, D(G(z)): 0.32
Epoch [4/200], Step [300/600], d_loss: 0.3736, g_loss: 1.3839, D(x): 0.70, D(G(z)): 0.28
Epoch [4/200], Step [350/600], d_loss: 0.3618, g_loss: 1.5412, D(x): 0.70, D(G(z)): 0.26
Epoch [4/200], Step [400/600], d_loss: 0.4262, g_loss: 1.4436, D(x): 0.68, D(G(z)): 0.31
Epoch [4/200], Step [450/600], d_loss: 0.3474, g_loss: 1.4812, D(x): 0.74, D(G(z)): 0.28
Epoch [4/200], Step [500/600], d_loss: 0.3540, g_loss: 1.5597, D(x): 0.69, D(G(z)): 0.24
Epoch [4/200], Step [550/600], d_loss: 0.3187, g_loss: 1.4071, D(x): 0.74, D(G(z)): 0.25
Epoch [4/200], Step [600/600], d_loss: 0.3793, g_loss: 1.2880, D(x): 0.74, D(G(z)): 0.33
